parameters,RMSE,MAPE
layers: [16_12_8_4] learning rate: 1e-05 batch size: 64,634.2822528101854,0.10539368613813062
layers: [16_12_8_4] learning rate: 1e-05 batch size: 96,605.7822112840149,0.0935911775657271
layers: [16_12_8_4] learning rate: 1e-05 batch size: 128,594.8822260014655,0.0951448122257207
layers: [16_12_8_4] learning rate: 1e-05 batch size: 256,657.1426382851787,0.1028185742706744
layers: [16_12_8_4] learning rate: 0.0001 batch size: 64,616.8227879263608,0.10046652266787678
layers: [16_12_8_4] learning rate: 0.0001 batch size: 96,545.6300922640517,0.08254800408778357
layers: [16_12_8_4] learning rate: 0.0001 batch size: 128,434.28636243368084,0.06613190584527931
layers: [16_12_8_4] learning rate: 0.0001 batch size: 256,448.70626658395827,0.06867145149349668
layers: [16_12_8_4] learning rate: 0.001 batch size: 64,417.249869848076,0.06346205268700908
layers: [16_12_8_4] learning rate: 0.001 batch size: 96,482.92221083625424,0.07576468704335164
layers: [16_12_8_4] learning rate: 0.001 batch size: 128,402.3376244547381,0.060843207819283006
layers: [16_12_8_4] learning rate: 0.001 batch size: 256,439.10109007454065,0.06551639180794196
layers: [12_8_4] learning rate: 1e-05 batch size: 64,696.4580465359071,0.11427887577761513
layers: [12_8_4] learning rate: 1e-05 batch size: 96,607.3725971766363,0.09603401400453299
layers: [12_8_4] learning rate: 1e-05 batch size: 128,610.9390266356436,0.09784454822988113
layers: [12_8_4] learning rate: 1e-05 batch size: 256,883.2349024863804,0.13793186257432258
layers: [12_8_4] learning rate: 0.0001 batch size: 64,453.6734822515533,0.07011831250868465
layers: [12_8_4] learning rate: 0.0001 batch size: 96,442.3812864750311,0.06843685276134777
layers: [12_8_4] learning rate: 0.0001 batch size: 128,468.8914088064363,0.06938269788485747
layers: [12_8_4] learning rate: 0.0001 batch size: 256,549.8036331210149,0.08427186503326359
layers: [12_8_4] learning rate: 0.001 batch size: 64,417.92409631577914,0.06492866478169794
layers: [12_8_4] learning rate: 0.001 batch size: 96,483.991635491064,0.07384027611822215
layers: [12_8_4] learning rate: 0.001 batch size: 128,458.1582049924049,0.07353802867523745
layers: [12_8_4] learning rate: 0.001 batch size: 256,431.50516128345737,0.06484724849669479
layers: [8_4] learning rate: 1e-05 batch size: 64,546.9776932923227,0.08743212958860021
layers: [8_4] learning rate: 1e-05 batch size: 96,535.9537809405492,0.08445087200674373
layers: [8_4] learning rate: 1e-05 batch size: 128,611.074333453316,0.09575753291710258
layers: [8_4] learning rate: 1e-05 batch size: 256,693.5956559871795,0.10612723668189168
layers: [8_4] learning rate: 0.0001 batch size: 64,422.85693528634897,0.06624398571221712
layers: [8_4] learning rate: 0.0001 batch size: 96,509.53287389545363,0.07661127107399468
layers: [8_4] learning rate: 0.0001 batch size: 128,434.83313925372886,0.06634312224190814
layers: [8_4] learning rate: 0.0001 batch size: 256,426.4236425044821,0.0656578249572038
layers: [8_4] learning rate: 0.001 batch size: 64,434.4319814480018,0.06851328101499457
layers: [8_4] learning rate: 0.001 batch size: 96,449.2691958181925,0.06991488198558783
layers: [8_4] learning rate: 0.001 batch size: 128,389.92870631794506,0.05954738578046004
layers: [8_4] learning rate: 0.001 batch size: 256,425.5016624901174,0.06520365076369485
