Hour,Minute,RMSE,MAPE,2014_RMSE,2015_RMSE,2016_RMSE,2017_RMSE,2018_RMSE,2019_RMSE,2020_RMSE,2014_MAPE,2015_MAPE,2016_MAPE,2017_MAPE,2018_MAPE,2019_MAPE,2020_MAPE
0,0,289.4449321065203,0.04696848023520516,265.2862002786557,225.83394351039232,256.1411413445337,315.10620570403756,321.7640805474316,312.27005857537137,284.99679536616907,0.03752173852593596,0.03472015097517112,0.04075979967544825,0.055536063650699255,0.055576833324311105,0.05582081416885526,0.048852599797895024
0,30,294.0784093610645,0.05014214173244312,302.92754129126473,255.58424825636067,277.2564422136185,303.9279642499594,288.7539472985646,275.5259070304831,260.2950058478815,0.04716456030239277,0.0405201248988853,0.047178564090259674,0.05675138541761017,0.052706391017659796,0.0510993891644973,0.045814289235966525
1,0,198.55371360362102,0.034250058995835116,213.39159818051945,174.86881623717588,188.7931483514822,181.81100349493292,170.7805670633847,199.4138119537776,189.02410462062682,0.03210781405197442,0.0286033850939214,0.033873228675293555,0.034249604298168985,0.030058707736881397,0.03571938120017594,0.03301625130173954
1,30,202.66486909983843,0.03654899853910537,185.68597020842628,171.11840463469017,176.71667255083378,182.55889222513508,177.13676072644967,187.79793281879523,191.01772844978882,0.029818333645582507,0.028657523032766988,0.032200855798068216,0.035346608077357344,0.03184959035974509,0.03484719374548943,0.03430370701988806
2,0,200.28788659827634,0.037225914014958,202.98959580732674,168.4552197251151,173.23685894368973,183.79423879243328,165.57678813596922,196.89555913778605,217.04902291348841,0.032966684379330015,0.02926067776073569,0.03270970069631368,0.0375625364588395,0.03109551867627186,0.03833371095362251,0.04072928077158926
2,30,212.67871341548525,0.04103725746538419,207.7175466212393,182.10731791602558,189.51258014682304,203.6719673814117,180.85095624131276,188.66306618451006,212.17911050819308,0.03688803152989481,0.032646613809013764,0.03788699693284296,0.042697369824011455,0.03500924334841358,0.03795770906123014,0.04197709485032212
3,0,233.14176650230192,0.04621103155203874,273.7280512157784,214.03020742146285,208.57233727730505,215.66341459275404,209.10097007071298,207.38980530015957,218.99246095545496,0.04572510679820253,0.03889311356197017,0.04201241422306682,0.04654810817049559,0.04165652985250108,0.04261513963819164,0.04391440152193257
3,30,231.7425626621242,0.0463310080905949,270.24547060972253,209.91088363348226,209.58471975456123,222.9163956628362,214.75938662965373,209.58766639437113,229.12546484726502,0.04580238902041377,0.03899855825415484,0.042882848653644424,0.048783747128941735,0.04326883266697898,0.043326577073403365,0.04680880266381251
4,0,216.82026602710633,0.04348917726450791,177.04978656690693,171.78359643852505,195.99432404458273,220.4900284823503,179.71986233187693,212.982415089022,212.26962255768373,0.03305147993282767,0.03355724528993113,0.04017025935993205,0.04674979299920466,0.036511051469172766,0.04307166865996055,0.04368008497117937
4,30,232.94548176372746,0.045872461964529446,214.50943948547342,187.37077391709784,213.30556259519412,238.46397099205308,193.05793165450532,215.40012796097028,232.34870964120034,0.038346388242282085,0.035429144398784994,0.04274331317327615,0.04972956873728982,0.038585708115538485,0.04296162088141184,0.04856892436384301
