Year,Month,Day,Weekday,Weekday_int,Seasonality
2014,1,1,Wed,2,PublicHoliday
2014,1,2,Thu,3,SchoolHoliday
2014,1,3,Fri,4,SchoolHoliday
2014,1,4,Sat,5,SchoolHoliday
2014,1,5,Sun,6,SchoolHoliday
2014,1,6,Mon,0,SchoolHoliday
2014,1,7,Tue,1,SchoolHoliday
2014,1,8,Wed,2,SchoolHoliday
2014,1,9,Thu,3,SchoolHoliday
2014,1,10,Fri,4,SchoolHoliday
2014,1,11,Sat,5,SchoolHoliday
2014,1,12,Sun,6,SchoolHoliday
2014,1,13,Mon,0,SchoolHoliday
2014,1,14,Tue,1,SchoolHoliday
2014,1,15,Wed,2,SchoolHoliday
2014,1,16,Thu,3,SchoolHoliday
2014,1,17,Fri,4,SchoolHoliday
2014,1,18,Sat,5,SchoolHoliday
2014,1,19,Sun,6,SchoolHoliday
2014,1,20,Mon,0,SchoolHoliday
2014,1,21,Tue,1,SchoolHoliday
2014,1,22,Wed,2,SchoolHoliday
2014,1,23,Thu,3,SchoolHoliday
2014,1,24,Fri,4,SchoolHoliday
2014,1,25,Sat,5,SchoolHoliday
2014,1,26,Sun,6,SchoolHoliday
2014,1,27,Mon,0,PublicHoliday
2014,1,28,Tue,1,Normal
2014,1,29,Wed,2,Normal
2014,1,30,Thu,3,Normal
2014,1,31,Fri,4,Normal
2014,2,1,Sat,5,Normal
2014,2,2,Sun,6,Normal
2014,2,3,Mon,0,Normal
2014,2,4,Tue,1,Normal
2014,2,5,Wed,2,Normal
2014,2,6,Thu,3,Normal
2014,2,7,Fri,4,Normal
2014,2,8,Sat,5,Normal
2014,2,9,Sun,6,Normal
2014,2,10,Mon,0,Normal
2014,2,11,Tue,1,Normal
2014,2,12,Wed,2,Normal
2014,2,13,Thu,3,Normal
2014,2,14,Fri,4,Normal
2014,2,15,Sat,5,Normal
2014,2,16,Sun,6,Normal
2014,2,17,Mon,0,Normal
2014,2,18,Tue,1,Normal
2014,2,19,Wed,2,Normal
2014,2,20,Thu,3,Normal
2014,2,21,Fri,4,Normal
2014,2,22,Sat,5,Normal
2014,2,23,Sun,6,Normal
2014,2,24,Mon,0,Normal
2014,2,25,Tue,1,Normal
2014,2,26,Wed,2,Normal
2014,2,27,Thu,3,Normal
2014,2,28,Fri,4,Normal
2014,3,1,Sat,5,Normal
2014,3,2,Sun,6,Normal
2014,3,3,Mon,0,Normal
2014,3,4,Tue,1,Normal
2014,3,5,Wed,2,Normal
2014,3,6,Thu,3,Normal
2014,3,7,Fri,4,Normal
2014,3,8,Sat,5,Normal
2014,3,9,Sun,6,Normal
2014,3,10,Mon,0,PublicHoliday
2014,3,11,Tue,1,Normal
2014,3,12,Wed,2,Normal
2014,3,13,Thu,3,Normal
2014,3,14,Fri,4,Normal
2014,3,15,Sat,5,Normal
2014,3,16,Sun,6,Normal
2014,3,17,Mon,0,Normal
2014,3,18,Tue,1,Normal
2014,3,19,Wed,2,Normal
2014,3,20,Thu,3,Normal
2014,3,21,Fri,4,Normal
2014,3,22,Sat,5,Normal
2014,3,23,Sun,6,Normal
2014,3,24,Mon,0,Normal
2014,3,25,Tue,1,Normal
2014,3,26,Wed,2,Normal
2014,3,27,Thu,3,Normal
2014,3,28,Fri,4,Normal
2014,3,29,Sat,5,Normal
2014,3,30,Sun,6,Normal
2014,3,31,Mon,0,Normal
2014,4,1,Tue,1,Normal
2014,4,2,Wed,2,Normal
2014,4,3,Thu,3,Normal
2014,4,4,Fri,4,Normal
2014,4,5,Sat,5,SchoolHoliday
2014,4,6,Sun,6,SchoolHoliday
2014,4,7,Mon,0,SchoolHoliday
2014,4,8,Tue,1,SchoolHoliday
2014,4,9,Wed,2,SchoolHoliday
2014,4,10,Thu,3,SchoolHoliday
2014,4,11,Fri,4,SchoolHoliday
2014,4,12,Sat,5,SchoolHoliday
2014,4,13,Sun,6,SchoolHoliday
2014,4,14,Mon,0,SchoolHoliday
2014,4,15,Tue,1,SchoolHoliday
2014,4,16,Wed,2,SchoolHoliday
2014,4,17,Thu,3,SchoolHoliday
2014,4,18,Fri,4,PublicHoliday
2014,4,19,Sat,5,PublicHoliday
2014,4,20,Sun,6,PublicHoliday
2014,4,21,Mon,0,PublicHoliday
2014,4,22,Tue,1,Normal
2014,4,23,Wed,2,Normal
2014,4,24,Thu,3,Normal
2014,4,25,Fri,4,PublicHoliday
2014,4,26,Sat,5,Normal
2014,4,27,Sun,6,Normal
2014,4,28,Mon,0,Normal
2014,4,29,Tue,1,Normal
2014,4,30,Wed,2,Normal
2014,5,1,Thu,3,Normal
2014,5,2,Fri,4,Normal
2014,5,3,Sat,5,Normal
2014,5,4,Sun,6,Normal
2014,5,5,Mon,0,Normal
2014,5,6,Tue,1,Normal
2014,5,7,Wed,2,Normal
2014,5,8,Thu,3,Normal
2014,5,9,Fri,4,Normal
2014,5,10,Sat,5,Normal
2014,5,11,Sun,6,Normal
2014,5,12,Mon,0,Normal
2014,5,13,Tue,1,Normal
2014,5,14,Wed,2,Normal
2014,5,15,Thu,3,Normal
2014,5,16,Fri,4,Normal
2014,5,17,Sat,5,Normal
2014,5,18,Sun,6,Normal
2014,5,19,Mon,0,Normal
2014,5,20,Tue,1,Normal
2014,5,21,Wed,2,Normal
2014,5,22,Thu,3,Normal
2014,5,23,Fri,4,Normal
2014,5,24,Sat,5,Normal
2014,5,25,Sun,6,Normal
2014,5,26,Mon,0,Normal
2014,5,27,Tue,1,Normal
2014,5,28,Wed,2,Normal
2014,5,29,Thu,3,Normal
2014,5,30,Fri,4,Normal
2014,5,31,Sat,5,Normal
2014,6,1,Sun,6,Normal
2014,6,2,Mon,0,Normal
2014,6,3,Tue,1,Normal
2014,6,4,Wed,2,Normal
2014,6,5,Thu,3,Normal
2014,6,6,Fri,4,Normal
2014,6,7,Sat,5,Normal
2014,6,8,Sun,6,Normal
2014,6,9,Mon,0,PublicHoliday
2014,6,10,Tue,1,Normal
2014,6,11,Wed,2,Normal
2014,6,12,Thu,3,Normal
2014,6,13,Fri,4,Normal
2014,6,14,Sat,5,Normal
2014,6,15,Sun,6,Normal
2014,6,16,Mon,0,Normal
2014,6,17,Tue,1,Normal
2014,6,18,Wed,2,Normal
2014,6,19,Thu,3,Normal
2014,6,20,Fri,4,Normal
2014,6,21,Sat,5,Normal
2014,6,22,Sun,6,Normal
2014,6,23,Mon,0,Normal
2014,6,24,Tue,1,Normal
2014,6,25,Wed,2,Normal
2014,6,26,Thu,3,Normal
2014,6,27,Fri,4,Normal
2014,6,28,Sat,5,SchoolHoliday
2014,6,29,Sun,6,SchoolHoliday
2014,6,30,Mon,0,SchoolHoliday
2014,7,1,Tue,1,SchoolHoliday
2014,7,2,Wed,2,SchoolHoliday
2014,7,3,Thu,3,SchoolHoliday
2014,7,4,Fri,4,SchoolHoliday
2014,7,5,Sat,5,SchoolHoliday
2014,7,6,Sun,6,SchoolHoliday
2014,7,7,Mon,0,SchoolHoliday
2014,7,8,Tue,1,SchoolHoliday
2014,7,9,Wed,2,SchoolHoliday
2014,7,10,Thu,3,SchoolHoliday
2014,7,11,Fri,4,SchoolHoliday
2014,7,12,Sat,5,SchoolHoliday
2014,7,13,Sun,6,SchoolHoliday
2014,7,14,Mon,0,Normal
2014,7,15,Tue,1,Normal
2014,7,16,Wed,2,Normal
2014,7,17,Thu,3,Normal
2014,7,18,Fri,4,Normal
2014,7,19,Sat,5,Normal
2014,7,20,Sun,6,Normal
2014,7,21,Mon,0,Normal
2014,7,22,Tue,1,Normal
2014,7,23,Wed,2,Normal
2014,7,24,Thu,3,Normal
2014,7,25,Fri,4,Normal
2014,7,26,Sat,5,Normal
2014,7,27,Sun,6,Normal
2014,7,28,Mon,0,Normal
2014,7,29,Tue,1,Normal
2014,7,30,Wed,2,Normal
2014,7,31,Thu,3,Normal
2014,8,1,Fri,4,Normal
2014,8,2,Sat,5,Normal
2014,8,3,Sun,6,Normal
2014,8,4,Mon,0,Normal
2014,8,5,Tue,1,Normal
2014,8,6,Wed,2,Normal
2014,8,7,Thu,3,Normal
2014,8,8,Fri,4,Normal
2014,8,9,Sat,5,Normal
2014,8,10,Sun,6,Normal
2014,8,11,Mon,0,Normal
2014,8,12,Tue,1,Normal
2014,8,13,Wed,2,Normal
2014,8,14,Thu,3,Normal
2014,8,15,Fri,4,Normal
2014,8,16,Sat,5,Normal
2014,8,17,Sun,6,Normal
2014,8,18,Mon,0,Normal
2014,8,19,Tue,1,Normal
2014,8,20,Wed,2,Normal
2014,8,21,Thu,3,Normal
2014,8,22,Fri,4,Normal
2014,8,23,Sat,5,Normal
2014,8,24,Sun,6,Normal
2014,8,25,Mon,0,Normal
2014,8,26,Tue,1,Normal
2014,8,27,Wed,2,Normal
2014,8,28,Thu,3,Normal
2014,8,29,Fri,4,Normal
2014,8,30,Sat,5,Normal
2014,8,31,Sun,6,Normal
2014,9,1,Mon,0,Normal
2014,9,2,Tue,1,Normal
2014,9,3,Wed,2,Normal
2014,9,4,Thu,3,Normal
2014,9,5,Fri,4,Normal
2014,9,6,Sat,5,Normal
2014,9,7,Sun,6,Normal
2014,9,8,Mon,0,Normal
2014,9,9,Tue,1,Normal
2014,9,10,Wed,2,Normal
